#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00    39.55     6.00     2.15   5.0140  0.05981
   20.96   351.05     3.00     1.88   2.8951  0.02624
   43.54   535.05     4.00     1.95   3.0548  0.07279
   72.99   316.85     4.00     2.02   2.8661  0.10920
  100.00   -39.55     6.00     2.15   4.3737  0.08576

 Path Length = 1.0584761339589153
