#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00    -6.60     6.00     2.14   5.3764  0.03923
   23.96   906.70     5.00     2.11   2.5085  0.16019
   50.64  1119.80     5.00     2.10   2.4132  0.16231
   74.78   380.10     4.00     2.08   3.0765  0.07476
  100.00     6.60     6.00     2.14   5.2871  0.05193

 Path Length = 4.3541858116214955
