#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00    38.80     6.00     2.13   5.5244  0.03878
   17.86   328.30     4.00     2.03   2.9587  0.09421
   33.99   463.00     4.00     1.94   3.2730  0.06091
   67.90   318.30     3.00     1.87   2.8485  0.03393
  100.00   -38.80     6.00     2.16   4.5775  0.07277

 Path Length = 2.0947181902571708
