#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00     0.00     5.00     2.13   4.0618  0.06610
   23.81   329.80     3.00     1.89   2.7551  0.04014
   50.49   538.00     4.00     2.00   2.5303  0.10778
   76.64   329.70     3.00     1.89   2.7549  0.04016
  100.00     0.00     5.00     2.13   4.0619  0.06610

 Path Length = 2.3939563561621964
