#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00    64.35     6.00     2.14   5.7639  0.02952
   27.96   464.45     4.00     2.05   2.8338  0.11365
   56.57   654.25     4.00     1.98   2.6746  0.09814
   78.89   255.25     4.00     2.01   3.1101  0.07080
  100.00   -64.35     6.00     2.19   4.3184  0.08192

 Path Length = 3.353612003734425
