#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00    78.95     6.00     2.15   4.5580  0.07430
   20.15   334.45     3.00     1.86   2.9595  0.01800
   42.93   330.65     4.00     1.94   3.3136  0.05937
   73.23   219.55     4.00     2.01   2.9243  0.10793
  100.00   -78.95     5.00     2.09   3.9578  0.06586

 Path Length = 3.1185595353175857
