#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00    69.50     6.00     2.15   5.5844  0.03852
   23.42   428.50     3.00     1.89   2.9035  0.02587
   49.94   525.00     4.00     1.98   3.0803  0.07768
   76.68   258.70     4.00     2.05   3.0393  0.08191
  100.00   -69.50     6.00     2.18   4.8259  0.06238

 Path Length = 2.7409275665081045
