#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00    -4.40     6.00     2.15   5.0140  0.05981
   17.56   470.90     3.00     1.91   2.5894  0.05755
   41.48   906.20     4.00     1.99   2.2489  0.13015
   73.17   521.50     4.00     2.03   2.8803  0.09421
  100.00     4.40     6.00     2.12   5.7254  0.02517

 Path Length = 1.9100466628326882
