#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00    65.15     6.00     2.18   4.1238  0.09983
   21.12   316.15     3.00     1.85   2.9570  0.01796
   44.28   359.75     4.00     1.94   3.4150  0.05844
   72.67   251.45     3.00     1.88   2.9789  0.01171
  100.00   -65.15     6.00     2.14   5.8039  0.02510

 Path Length = 2.9549940738547944
