#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00   138.20     6.00     2.16   4.5144  0.07446
   23.61   446.60     3.00     1.86   2.9137  0.02564
   49.39   494.80     4.00     1.93   3.2102  0.06538
   75.43   275.30     4.00     2.02   2.8847  0.11201
  100.00  -138.20     5.00     2.09   3.9578  0.06586

 Path Length = 3.068191777271441
