#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00   -70.00     4.00     2.02   3.8682  0.02918
   27.11   202.50     3.00     1.88   2.8165  0.03571
   57.01   348.80     4.00     1.99   2.8241  0.09015
   79.66   282.50     3.00     1.91   2.8153  0.03579
  100.00    70.00     6.00     2.18   4.4888  0.07961

 Path Length = 2.700614858813016
