#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00    72.45     6.00     2.14   5.1770  0.05364
   17.17   354.05     4.00     2.02   2.9508  0.10239
   33.23   449.15     4.00     1.93   3.3090  0.06176
   67.43   299.85     3.00     1.86   2.8797  0.02900
  100.00   -72.45     6.00     2.15   4.6794  0.06854

 Path Length = 2.061463575477884
