#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00   -18.20     6.00     2.17   4.2500  0.09375
   23.07   379.30     3.00     1.85   2.9721  0.01504
   49.23   517.50     4.00     1.94   3.4724  0.05133
   74.83   389.60     3.00     1.91   2.9499  0.02019
  100.00    18.20     6.00     2.15   5.3017  0.04170

 Path Length = 4.19658870645136
