#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00    51.55     6.00     2.12   5.1663  0.04867
   22.54   678.15     4.00     2.02   2.2411  0.13877
   49.87  1184.75     3.00     1.97   1.9161  0.15654
   76.64   338.65     5.00     2.10   3.3121  0.09226
  100.00   -51.55     6.00     2.16   4.5810  0.07646

 Path Length = 2.740099090813231
