#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00    -0.05     6.00     2.14   5.8586  0.02362
   22.84   492.65     3.00     1.89   2.9840  0.01046
   48.81   765.25     4.00     1.96   3.3421  0.06413
   75.97   492.15     3.00     1.89   2.9841  0.01043
  100.00     0.05     6.00     2.14   5.8585  0.02361

 Path Length = 4.2034787181014375
