#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00    18.05     6.00     2.13   5.6948  0.03110
   26.28   635.75     4.00     2.06   2.6929  0.11107
   54.63  1254.35     4.00     2.04   2.1551  0.15029
   78.29   565.35     4.00     2.00   3.2176  0.06223
  100.00   -18.05     6.00     2.14   5.1770  0.05364

 Path Length = 1.8129772391308254
