#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00     3.00     6.00     2.15   4.6747  0.07469
   25.07   303.00     5.00     2.15   3.4864  0.08679
   49.74  1142.80     5.00     2.09   2.6813  0.14448
   75.88   860.20     5.00     2.09   2.5503  0.13807
  100.00    -3.00     6.00     2.18   4.6786  0.07221

 Path Length = 4.263232440442003
