#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00    28.80     6.00     2.13   5.4297  0.03826
   25.19   466.30     5.00     2.09   3.6027  0.09620
   53.54  1009.70     4.00     1.99   2.5380  0.10981
   79.40   509.00     4.00     2.02   3.0090  0.07849
  100.00   -28.80     6.00     2.13   5.7702  0.02730

 Path Length = 3.5545563788441576
