#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00     0.50     5.00     2.12   4.0816  0.06442
   23.34   343.70     4.00     2.10   2.1050  0.16242
   50.01   656.50     2.00     1.74   2.0000  0.00000
   76.68   343.40     4.00     2.10   2.1042  0.16236
  100.00    -0.50     5.00     2.12   4.0806  0.06445

 Path Length = 2.6995352439940765
