#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00   -64.35     6.00     2.19   4.3458  0.08006
   22.21   251.15     4.00     2.02   3.0817  0.07438
   45.32   487.25     4.00     1.96   3.1960  0.06759
   72.64   410.35     3.00     1.88   2.9629  0.01537
  100.00    64.35     6.00     2.14   5.8494  0.02330

 Path Length = 3.259191949533413
