#   path,  E(meV),      CN,      BL,    ECN,     DI  
    0.00    57.55     6.00     2.17   5.4536  0.04505
   24.50  1018.35     3.00     1.86   2.7076  0.04323
   51.10  1348.85     5.00     2.09   2.3810  0.16543
   76.48   461.65     4.00     2.08   2.9028  0.09089
  100.00   -57.55     6.00     2.12   5.4121  0.04791

 Path Length = 4.689835138654026
